,Name,Image,Personality Traits
70,['Arshad Warsi'],"['https://en.wikipedia.org//wiki/File:ArshadWarsi.jpg', 'https://en.wikipedia.org//wiki/File:Maria-Goretti-Arshad-Warsi-Family.jpg', 'https://en.wikipedia.org//wiki/File:P_vip.svg', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg', 'https://en.wikipedia.org//wiki/File:Flag_of_India.svg', 'https://en.wikipedia.org//wiki/File:Blank_television_set.svg']","['actor', 'producer', 'singer', 'director', 'comedy', 'successful', 'married', 'comedy', 'actor', 'actor', 'comedy', 'director', 'actor', 'comedy', 'actor', 'comedy', 'host', 'married', 'singer', 'actress', 'actor', 'director', 'actor', 'actor']"
71,['Arun Sarnaik'],['https://en.wikipedia.org//wiki/File:Arun-Sarnaik-pic.jpg'],"['actor', 'singer', 'actor']"
72,['Arunoday Singh'],"['https://en.wikipedia.org//wiki/File:Arunoday_at_J-2_promo.jpg', 'https://en.wikipedia.org//wiki/File:Cast_%26_crew_of_%27Jism_-_2%27_promote_their_film_at_India_Gate_in_Delhi.jpg']","['actor', 'actor', 'director', 'actor', 'comedy']"
73,['Arvind Krishna'],"['https://en.wikipedia.org//wiki/File:Arvind_Krishna.jpg.png', 'https://en.wikipedia.org//wiki/File:IBM_logo.svg']",['general']
74,['Arvind Swami'],['https://en.wikipedia.org//wiki/File:Aravind_Swamy_at_63rd_Filmfare_Awards_2016_(South)_Press_Meet.jpg'],"['actor', 'known for his work', 'successful', 'host', 'director', 'actor', 'director', 'successful', 'outstanding', 'married']"
75,['Aarya Babbar'],"['https://en.wikipedia.org//wiki/File:Arya_Babbar.JPG', 'https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg']","['actor', 'actor', 'actor', 'actress', 'married']"
76,['Arya (actor)'],"['https://en.wikipedia.org//wiki/File:Arya_viewing_CCL_match,_India.jpg']","['actor', 'producer', 'comedy', 'actress', 'married', 'successful', 'successful', 'actor', 'actor', 'powerful', 'successful', 'comedy', 'actor', 'director', 'writer', 'comedy', 'successful', 'comedy', 'comedy', 'comedy']"
77,['Asif Ali (actor)'],['https://en.wikipedia.org//wiki/File:Asif_Ali_Malayalam_Actor.jpg'],"['actor', 'producer', 'successful', 'comedy', 'producer', 'successful', 'director']"
78,['Ashish Vidyarthi'],['https://en.wikipedia.org//wiki/File:Aashish_Vidyarthi.jpg'],"['actor', 'known for his work', 'actor']"
79,['Ashok (Kannada actor)'],['https://en.wikipedia.org//wiki/File:India_film_clapperboard_(variant).svg'],['actor']
